user_id,property_id,tags
U009,P012,"Budget-Friendly, Investment Potential, Near Public Transport"
U006,P003,"Family-Friendly, Spacious, Near Public Transport, Good Locality"
U004,P008,"Budget-Friendly, Family-Friendly, Investment Potential, Spacious, Good Locality"
U017,P010,Budget-Friendly
U018,P002,"Family-Friendly, Near Public Transport, Good Locality, Budget-Friendly, Spacious, Investment Potential"
U006,P019,"Investment Potential, Budget-Friendly, Family-Friendly"
U006,P008,"Investment Potential, Budget-Friendly, Near Public Transport, Spacious"
U008,P019,Investment Potential
U020,P001,"Family-Friendly, Investment Potential, Good Locality"
U002,P006,"Spacious, Investment Potential, Family-Friendly, Near Public Transport, Good Locality, Budget-Friendly"
U017,P003,"Spacious, Good Locality, Investment Potential, Budget-Friendly"
U007,P005,Near Public Transport
U016,P007,"Family-Friendly, Spacious, Good Locality, Budget-Friendly, Near Public Transport, Investment Potential"
U008,P004,"Good Locality, Near Public Transport, Spacious, Budget-Friendly, Investment Potential, Family-Friendly"
U003,P001,"Near Public Transport, Investment Potential"
U005,P020,"Near Public Transport, Investment Potential, Good Locality, Family-Friendly"
U017,P002,"Budget-Friendly, Good Locality, Spacious, Investment Potential, Near Public Transport"
U016,P020,"Near Public Transport, Family-Friendly, Spacious, Budget-Friendly, Good Locality"
U002,P008,"Investment Potential, Budget-Friendly, Near Public Transport"
U010,P009,"Investment Potential, Budget-Friendly, Near Public Transport, Spacious"
U003,P007,"Good Locality, Investment Potential, Near Public Transport"
U015,P015,"Investment Potential, Near Public Transport, Budget-Friendly, Family-Friendly, Good Locality, Spacious"
U017,P004,Family-Friendly
U010,P019,"Budget-Friendly, Spacious, Good Locality, Near Public Transport, Investment Potential, Family-Friendly"
U005,P018,"Near Public Transport, Family-Friendly"
U009,P012,"Near Public Transport, Budget-Friendly, Good Locality, Spacious"
U007,P005,"Near Public Transport, Spacious, Good Locality, Investment Potential, Budget-Friendly, Family-Friendly"
U010,P018,"Investment Potential, Budget-Friendly, Family-Friendly"
U013,P002,"Family-Friendly, Budget-Friendly, Spacious, Investment Potential, Good Locality, Near Public Transport"
U012,P001,"Family-Friendly, Investment Potential"
U007,P016,"Spacious, Investment Potential"
U010,P010,"Family-Friendly, Spacious, Budget-Friendly"
U020,P002,"Budget-Friendly, Family-Friendly, Good Locality, Investment Potential, Near Public Transport"
U009,P013,"Good Locality, Near Public Transport, Budget-Friendly"
U003,P017,"Family-Friendly, Spacious, Budget-Friendly, Good Locality, Investment Potential"
U006,P012,"Investment Potential, Family-Friendly, Spacious, Budget-Friendly, Good Locality"
U004,P010,Family-Friendly
U011,P001,"Near Public Transport, Family-Friendly"
U017,P015,"Investment Potential, Good Locality, Near Public Transport, Family-Friendly, Spacious, Budget-Friendly"
U009,P004,"Spacious, Near Public Transport, Family-Friendly, Investment Potential, Good Locality"
U015,P007,"Budget-Friendly, Spacious, Good Locality"
U020,P010,"Good Locality, Investment Potential, Spacious, Family-Friendly, Budget-Friendly, Near Public Transport"
U012,P015,"Spacious, Good Locality, Investment Potential, Family-Friendly, Budget-Friendly, Near Public Transport"
U002,P008,"Family-Friendly, Good Locality, Spacious"
U018,P006,"Good Locality, Spacious, Near Public Transport"
U001,P003,Good Locality
U001,P007,"Budget-Friendly, Spacious, Family-Friendly, Investment Potential, Good Locality, Near Public Transport"
U018,P016,"Investment Potential, Family-Friendly"
U008,P007,"Investment Potential, Near Public Transport, Family-Friendly, Budget-Friendly, Spacious, Good Locality"
U012,P003,"Budget-Friendly, Investment Potential, Spacious, Good Locality"
U001,P003,"Near Public Transport, Family-Friendly, Budget-Friendly, Good Locality, Spacious, Investment Potential"
U009,P011,"Near Public Transport, Family-Friendly, Investment Potential"
U014,P016,"Investment Potential, Spacious"
U002,P003,"Near Public Transport, Family-Friendly"
U004,P018,Family-Friendly
U013,P018,"Family-Friendly, Investment Potential"
U006,P008,"Good Locality, Investment Potential, Family-Friendly"
U002,P003,"Family-Friendly, Spacious, Near Public Transport, Good Locality, Budget-Friendly"
U020,P007,"Budget-Friendly, Near Public Transport, Family-Friendly, Good Locality, Investment Potential, Spacious"
U012,P020,"Good Locality, Family-Friendly, Investment Potential, Near Public Transport, Spacious, Budget-Friendly"
U010,P013,"Budget-Friendly, Near Public Transport, Spacious, Investment Potential, Family-Friendly"
U020,P006,"Budget-Friendly, Spacious, Good Locality, Near Public Transport"
U020,P010,"Spacious, Budget-Friendly, Near Public Transport, Investment Potential, Good Locality"
U004,P015,"Budget-Friendly, Good Locality, Spacious, Near Public Transport, Family-Friendly, Investment Potential"
U016,P009,Good Locality
U002,P003,"Near Public Transport, Good Locality, Family-Friendly"
