property_id,property_name,property_type,address,neighborhood,postcode,location,price,size_sqft,bedrooms,bathrooms,floors,year_built,property_condition,balcony,garden,swimming_pool,garage,furnished,property_tags,developer_id,availability_status,listing_date,description
1,Lopez PLC Apartment,Condo,10348 Kevin Center,Newtown,2042,"Sydney, Newtown, 2042",1764108,1342,1,3,3,1975,Needs Repair,True,False,False,True,False,Investment,9,Available,2024-01-10,"Might we act rock. Customer commercial out early study by military.
Dinner pass traditional do meeting eat laugh. Face respond listen customer already."
2,"Coleman, Floyd and Hammond Condo",Condo,9976 Joseph Harbor,Newtown,2042,"Sydney, Newtown, 2042",3193006,2937,3,3,2,2021,Renovated,False,True,False,False,False,Luxury,7,Available,2024-07-07,"Area crime treatment nor any create. Likely human local again when return.
Woman market use news receive international."
3,Nunez-Simpson House,Condo,69129 Barajas Views Apt. 885,Surry Hills,2010,"Sydney, Surry Hills, 2010",4416257,2774,5,3,1,1913,Needs Repair,True,True,False,False,True,Affordable,3,Sold,2024-02-10,"Join head sell recent political. Special leader throw chance former.
Religious growth them force."
4,Smith-Rice Apartment,Villa,49565 Bruce Locks Apt. 413,Sydney CBD,2000,"Sydney, Sydney CBD, 2000",3305464,2708,2,4,1,1914,Needs Repair,True,False,True,False,False,Affordable,5,Under Contract,2024-07-15,Through down should future successful bill hour. High power pattern option before add probably. Section interest claim again bad. Whatever inside mother certainly opportunity bit.
5,Guerra LLC Condo,Apartment,5526 Pamela Lock Apt. 551,Chatswood,2067,"Sydney, Chatswood, 2067",774826,1857,3,1,1,1999,New,False,False,False,True,True,Investment,1,Under Contract,2024-07-31,Director maybe hit. Deep painting table next air expert. Account condition first director language pattern gun. Understand partner little another set draw.
6,Hardy-Le Apartment,Villa,93965 Amanda Circle,Manly,2095,"Sydney, Manly, 2095",593447,3938,1,1,3,1936,New,True,False,True,True,True,Affordable,10,Sold,2024-05-27,"Where might stock language continue exist. Family fall seem store. Specific simple hold tend.
All simple section. Explain week high project."
7,"James, Williams and Dalton Villa",Villa,30760 Gomez Pines,Newtown,2042,"Sydney, Newtown, 2042",2540426,2018,1,1,1,2003,Needs Repair,True,False,False,False,False,Investment,2,Under Contract,2024-01-12,"Second record entire door morning laugh opportunity. Together live soldier administration ahead environmental.
Occur magazine realize. Tonight relationship popular site value light Democrat."
8,"Gonzalez, Moyer and Reese Condo",Villa,41032 Bradley Walk,Parramatta,2150,"Sydney, Parramatta, 2150",2740863,579,2,2,1,1940,New,True,False,True,True,False,Luxury,9,Under Contract,2024-08-09,"Hit thank executive strong. Fund southern into cover until establish.
Score tax thought record stop attention billion hard. Audience movement base paper while."
9,"Higgins, Ortiz and Stephenson Villa",Condo,7905 Villarreal Street,Paddington,2021,"Sydney, Paddington, 2021",567770,3309,2,3,2,1967,Needs Repair,True,False,False,True,True,Luxury,7,Sold,2024-03-10,"Huge you range home trial family. Account apply card less talk then.
Letter fine city everyone rest yet. Friend identify exist me article police you."
10,"Horn, Daugherty and Johnson House",Apartment,2582 Bethany Lights Apt. 204,Chatswood,2067,"Sydney, Chatswood, 2067",3699384,1116,2,3,2,1919,Needs Repair,True,True,True,True,True,Investment,7,Under Contract,2024-08-10,"Best firm left. Word reality west me.
Board century her not back indicate build. Money page arrive provide girl full significant."
