feedback_id,user_id,property_id,inspection_date,feedback_date,liking_text,disliking_text,property_condition_rating,agent_interaction_rating,overall_experience_rating
F8567,U001,P010,2024-08-12 16:31:48.281791,2024-08-19 16:31:48.281791,"The property is in a great location, close to public transport and schools.",The neighborhood does not seem safe.,2,3,3
F8368,U017,P005,2024-08-03 16:31:48.281791,2024-08-04 16:31:48.281791,"The property is in a great location, close to public transport and schools.",I’m not a fan of the interior design.,2,3,4
F2951,U014,P015,2024-08-12 16:31:48.281791,2024-08-13 16:31:48.281791,"The property is in a great location, close to public transport and schools.","The location is not ideal, too far from the city center.",5,1,2
F5923,U008,P013,2024-08-12 16:31:48.281791,2024-08-19 16:31:48.281791,The views from the balcony are amazing.,"The location is not ideal, too far from the city center.",3,4,2
F3423,U012,P004,2024-07-30 16:31:48.281791,2024-08-06 16:31:48.281791,"The property is in a great location, close to public transport and schools.",There are too few parking spaces available.,5,1,1
F9688,U015,P008,2024-07-15 16:31:48.281791,2024-07-22 16:31:48.281791,I appreciate the energy-efficient features of this property.,I don't like the layout of the property.,4,4,4
F8039,U010,P009,2024-07-23 16:31:48.281791,2024-07-26 16:31:48.281791,The price is very reasonable for the size of the property.,"The location is not ideal, too far from the city center.",1,4,4
F8828,U014,P005,2024-07-18 16:31:48.281791,2024-07-24 16:31:48.281791,I loved the spacious living area and the modern kitchen.,The rooms are smaller than I expected.,2,5,2
F3878,U006,P011,2024-07-27 16:31:48.281791,2024-07-27 16:31:48.281791,I like the quiet neighborhood and the fact that it has a big backyard.,The area is too noisy.,2,2,5
F3893,U018,P020,2024-08-13 16:31:48.281791,2024-08-19 16:31:48.281791,I loved the spacious living area and the modern kitchen.,I’m not a fan of the interior design.,2,2,2
F7706,U018,P016,2024-08-09 16:31:48.281791,2024-08-10 16:31:48.281791,I appreciate the energy-efficient features of this property.,"The location is not ideal, too far from the city center.",5,5,4
F6453,U014,P007,2024-07-29 16:31:48.281791,2024-07-31 16:31:48.281791,I appreciate the energy-efficient features of this property.,There are too few parking spaces available.,1,2,1
F2857,U008,P013,2024-07-24 16:31:48.281791,2024-07-31 16:31:48.281791,The views from the balcony are amazing.,The neighborhood does not seem safe.,4,3,1
F1534,U005,P007,2024-08-01 16:31:48.281791,2024-08-06 16:31:48.281791,"It's close to my workplace, which is very convenient.",The property is too expensive for my budget.,2,3,3
F9610,U018,P005,2024-07-20 16:31:48.281791,2024-07-27 16:31:48.281791,"It has all the amenities I was looking for, including a gym and swimming pool.",The neighborhood does not seem safe.,5,4,1
F9518,U013,P004,2024-07-30 16:31:48.281791,2024-07-30 16:31:48.281791,I like the quiet neighborhood and the fact that it has a big backyard.,The rooms are smaller than I expected.,1,3,4
F8933,U007,P002,2024-07-23 16:31:48.281791,2024-07-28 16:31:48.281791,"It has all the amenities I was looking for, including a gym and swimming pool.",The area is too noisy.,3,3,2
F5489,U009,P019,2024-07-29 16:31:48.281791,2024-07-31 16:31:48.281791,"The property is in a great location, close to public transport and schools.","The location is not ideal, too far from the city center.",3,5,1
F6937,U017,P004,2024-07-24 16:31:48.281791,2024-07-26 16:31:48.281791,I appreciate the energy-efficient features of this property.,I don't like the layout of the property.,4,5,5
F8947,U011,P005,2024-08-11 16:31:48.281791,2024-08-16 16:31:48.281791,The price is very reasonable for the size of the property.,I’m not a fan of the interior design.,3,2,1
F1232,U005,P009,2024-07-17 16:31:48.281791,2024-07-23 16:31:48.281791,The layout of the house is very practical.,I don't like the layout of the property.,4,2,3
F7830,U015,P020,2024-07-28 16:31:48.281791,2024-08-01 16:31:48.281791,"It's close to my workplace, which is very convenient.",The property is too expensive for my budget.,2,4,5
F2234,U004,P007,2024-07-24 16:31:48.281791,2024-07-28 16:31:48.281791,The house has a lot of potential for renovation and investment.,I’m not a fan of the interior design.,4,1,3
F3731,U009,P010,2024-07-18 16:31:48.281791,2024-07-18 16:31:48.281791,The views from the balcony are amazing.,The property requires too many repairs.,3,2,5
F8607,U004,P007,2024-08-02 16:31:48.281791,2024-08-04 16:31:48.281791,The house has a lot of potential for renovation and investment.,The area is too noisy.,5,4,4
F7091,U011,P012,2024-07-16 16:31:48.281791,2024-07-16 16:31:48.281791,The layout of the house is very practical.,The property is too expensive for my budget.,3,5,2
F7156,U015,P010,2024-07-21 16:31:48.281791,2024-07-23 16:31:48.281791,The price is very reasonable for the size of the property.,The backyard is too small.,2,1,2
F7107,U003,P002,2024-08-05 16:31:48.281791,2024-08-08 16:31:48.281791,The price is very reasonable for the size of the property.,The property is too expensive for my budget.,3,3,3
F8319,U019,P017,2024-07-24 16:31:48.281791,2024-07-28 16:31:48.281791,"The property is in a great location, close to public transport and schools.",I don't like the layout of the property.,2,1,4
F2560,U020,P007,2024-08-13 16:31:48.281791,2024-08-19 16:31:48.281791,I like the quiet neighborhood and the fact that it has a big backyard.,"The location is not ideal, too far from the city center.",3,2,3
F2063,U011,P019,2024-07-26 16:31:48.281791,2024-07-26 16:31:48.281791,This property feels like a place I could call home.,The neighborhood does not seem safe.,3,3,4
F7796,U014,P011,2024-08-09 16:31:48.281791,2024-08-12 16:31:48.281791,I like the quiet neighborhood and the fact that it has a big backyard.,It lacks modern features and feels outdated.,5,3,4
F7113,U004,P001,2024-07-18 16:31:48.281791,2024-07-20 16:31:48.281791,The price is very reasonable for the size of the property.,The property is too expensive for my budget.,1,2,3
F5360,U014,P012,2024-07-16 16:31:48.281791,2024-07-23 16:31:48.281791,This property feels like a place I could call home.,I don't like the layout of the property.,4,5,4
F5737,U001,P006,2024-07-25 16:31:48.281791,2024-07-30 16:31:48.281791,"It's close to my workplace, which is very convenient.",There are too few parking spaces available.,2,5,5
F3213,U008,P016,2024-08-12 16:31:48.281791,2024-08-14 16:31:48.281791,I appreciate the energy-efficient features of this property.,The area is too noisy.,1,3,3
F1686,U002,P015,2024-07-22 16:31:48.281791,2024-07-23 16:31:48.281791,The views from the balcony are amazing.,The property is too expensive for my budget.,3,5,2
F8019,U019,P010,2024-07-26 16:31:48.281791,2024-07-31 16:31:48.281791,"The property is in a great location, close to public transport and schools.",There are too few parking spaces available.,4,5,3
F8748,U006,P009,2024-07-20 16:31:48.281791,2024-07-20 16:31:48.281791,I appreciate the energy-efficient features of this property.,"The location is not ideal, too far from the city center.",4,4,1
F2687,U017,P020,2024-08-06 16:31:48.281791,2024-08-13 16:31:48.281791,"The property is in a great location, close to public transport and schools.","The location is not ideal, too far from the city center.",1,5,3
F8942,U003,P004,2024-08-02 16:31:48.281791,2024-08-05 16:31:48.281791,The house has a lot of potential for renovation and investment.,"The location is not ideal, too far from the city center.",2,4,3
F8312,U008,P015,2024-08-10 16:31:48.281791,2024-08-15 16:31:48.281791,I appreciate the energy-efficient features of this property.,The neighborhood does not seem safe.,2,2,3
F5948,U006,P012,2024-08-01 16:31:48.281791,2024-08-03 16:31:48.281791,"It has all the amenities I was looking for, including a gym and swimming pool.",It lacks modern features and feels outdated.,1,1,2
F1267,U006,P003,2024-07-15 16:31:48.281791,2024-07-20 16:31:48.281791,I like the quiet neighborhood and the fact that it has a big backyard.,The area is too noisy.,2,5,5
F4224,U020,P002,2024-08-06 16:31:48.281791,2024-08-11 16:31:48.281791,"It has all the amenities I was looking for, including a gym and swimming pool.","The location is not ideal, too far from the city center.",3,5,3
F2594,U018,P016,2024-07-29 16:31:48.281791,2024-07-29 16:31:48.281791,I loved the spacious living area and the modern kitchen.,I don't like the layout of the property.,1,3,3
F9426,U012,P011,2024-08-05 16:31:48.281791,2024-08-07 16:31:48.281791,The views from the balcony are amazing.,The area is too noisy.,3,2,1
F1324,U010,P013,2024-07-27 16:31:48.281791,2024-07-28 16:31:48.281791,I loved the spacious living area and the modern kitchen.,The property is too expensive for my budget.,1,1,1
F8871,U007,P003,2024-07-19 16:31:48.281791,2024-07-20 16:31:48.281791,The layout of the house is very practical.,I’m not a fan of the interior design.,1,3,1
F9779,U017,P018,2024-08-05 16:31:48.281791,2024-08-05 16:31:48.281791,I loved the spacious living area and the modern kitchen.,The property is too expensive for my budget.,1,1,3
F4411,U019,P002,2024-07-28 16:31:48.281791,2024-08-01 16:31:48.281791,The house has a lot of potential for renovation and investment.,The rooms are smaller than I expected.,2,5,5
F6408,U012,P017,2024-08-11 16:31:48.281791,2024-08-16 16:31:48.281791,"It's close to my workplace, which is very convenient.",The area is too noisy.,1,1,5
F1241,U007,P003,2024-08-05 16:31:48.281791,2024-08-07 16:31:48.281791,The price is very reasonable for the size of the property.,The area is too noisy.,1,2,5
F7558,U005,P006,2024-07-29 16:31:48.281791,2024-07-30 16:31:48.281791,This property feels like a place I could call home.,I don't like the layout of the property.,1,1,2
F9001,U017,P005,2024-07-20 16:31:48.281791,2024-07-24 16:31:48.281791,The layout of the house is very practical.,The neighborhood does not seem safe.,3,1,1
F8565,U010,P020,2024-08-01 16:31:48.281791,2024-08-03 16:31:48.281791,This property feels like a place I could call home.,I don't like the layout of the property.,3,2,4
F8624,U002,P016,2024-08-03 16:31:48.281791,2024-08-09 16:31:48.281791,"It's close to my workplace, which is very convenient.",The area is too noisy.,3,4,3
F3292,U020,P003,2024-08-12 16:31:48.281791,2024-08-18 16:31:48.281791,"The property is in a great location, close to public transport and schools.",It’s too far from public transport and schools.,2,4,1
F1770,U005,P006,2024-08-12 16:31:48.281791,2024-08-14 16:31:48.281791,"The property is in a great location, close to public transport and schools.",The property is too expensive for my budget.,2,3,1
F1942,U009,P002,2024-08-13 16:31:48.281791,2024-08-13 16:31:48.281791,The house has a lot of potential for renovation and investment.,I’m not a fan of the interior design.,1,2,4
F9921,U005,P003,2024-07-26 16:31:48.281791,2024-07-31 16:31:48.281791,"It's close to my workplace, which is very convenient.",I don't like the layout of the property.,4,5,3
F5380,U006,P007,2024-08-03 16:31:48.281791,2024-08-09 16:31:48.281791,I loved the spacious living area and the modern kitchen.,There are too few parking spaces available.,1,3,4
F6825,U014,P017,2024-08-07 16:31:48.282793,2024-08-12 16:31:48.282793,I appreciate the energy-efficient features of this property.,There are too few parking spaces available.,5,3,2
F9150,U003,P011,2024-07-22 16:31:48.282793,2024-07-29 16:31:48.282793,The price is very reasonable for the size of the property.,The neighborhood does not seem safe.,5,1,2
F4869,U009,P002,2024-08-03 16:31:48.282793,2024-08-06 16:31:48.282793,"The property is in a great location, close to public transport and schools.",I’m not a fan of the interior design.,1,4,2
F9735,U016,P016,2024-07-19 16:31:48.282793,2024-07-19 16:31:48.282793,The views from the balcony are amazing.,The property is too expensive for my budget.,4,5,5
